id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
101887,Entire home/apt in Mott Haven,217484,Priya,Bronx,Mott Haven,40.85046,-73.83799,Entire home/apt,37.0,4,10,2019-07-15,0.91,1,5
101888,Private room in Williamsburg,617296,Wei,Brooklyn,Williamsburg,40.61905,-73.92818,Private room,70.0,2,15,2019-08-15,0.61,2,194
101889,Entire home/apt in Fordham,57271,Fatima,Bronx,Fordham,40.84244,-73.82337,Entire home/apt,58.0,7,1,2019-07-15,0.0,1,0
101890,Entire home/apt in Bushwick,451238,Sara,Brooklyn,Bushwick,40.6432,-73.94186,Entire home/apt,98.0,2,17,2019-07-15,0.28,7,204
101891,Entire home/apt in Ridgewood,409339,Fatima,Queens,Ridgewood,40.72071,-73.8447,Entire home/apt,90.0,3,5,2019-07-15,0.43,1,0
101892,Entire home/apt in Mott Haven,855592,Maria,Bronx,Mott Haven,40.83219,-73.84727,Entire home/apt,89.0,1,17,2019-06-15,1.15,3,365
101893,Entire home/apt in East Village,203203,Chen,Manhattan,East Village,40.77589,-73.97577,Entire home/apt,221.0,2,2,2019-04-15,0.39,1,52
101894,Entire home/apt in East Village,251869,Maria,Manhattan,East Village,40.77463,-73.94339,Entire home/apt,176.0,30,19,2019-08-15,0.78,2,174
101895,Private room in Ridgewood,440546,Miguel,Queens,Ridgewood,40.77082,-73.78675,Private room,30.0,2,14,2019-07-15,0.54,6,73
101896,Private room in Upper West Side,972153,John,Manhattan,Upper West Side,40.80606,-73.96899,Private room,106.0,3,8,2019-05-15,0.43,5,18
101897,Private room in Crown Heights,470909,Priya,Brooklyn,Crown Heights,40.70995,-73.95286,Private room,94.0,4,2,2019-06-15,0.54,1,85
101898,Entire home/apt in Park Slope,156789,Sara,Brooklyn,Park Slope,40.68898,-73.96691,Entire home/apt,171.0,1,15,2019-04-15,0.88,4,163
101899,Private room in Crown Heights,138559,Alex,Brooklyn,Crown Heights,40.67852,-73.93365,Private room,92.0,1,8,2019-07-15,0.13,1,165
101900,Private room in Park Slope,959588,Wei,Brooklyn,Park Slope,40.70464,-73.91577,Private room,54.0,1,20,2019-03-15,0.86,1,47
101901,Private room in Flatbush,701821,Maria,Brooklyn,Flatbush,40.67195,-73.9132,Private room,67.0,3,5,2019-08-15,0.31,2,0
101902,Entire home/apt in Ridgewood,863267,Alex,Queens,Ridgewood,40.74684,-73.78902,Entire home/apt,124.0,2,1,2019-06-15,0.0,4,333
101903,Entire home/apt in Chelsea,986445,Priya,Manhattan,Chelsea,40.78252,-73.99034,Entire home/apt,162.0,5,7,2019-06-15,0.24,1,51
101904,Entire home/apt in Midtown,410226,Maria,Manhattan,Midtown,40.79846,-73.97774,Entire home/apt,136.0,14,2,2019-01-15,0.0,1,178
101905,Private room in Hell's Kitchen,564465,Alex,Manhattan,Hell's Kitchen,40.77532,-73.98727,Private room,53.0,1,9,2019-04-15,1.3,1,206
101906,Entire home/apt in Bedford-Stuyvesant,666751,Chen,Brooklyn,Bedford-Stuyvesant,40.67119,-73.91732,Entire home/apt,184.0,2,14,2019-02-15,0.24,1,0
101907,Entire home/apt in Bushwick,292133,Chen,Brooklyn,Bushwick,40.67395,-73.94501,Entire home/apt,101.0,2,5,2019-04-15,0.0,2,125
101908,Entire home/apt in Upper East Side,566728,Wei,Manhattan,Upper East Side,40.77464,-73.98647,Entire home/apt,211.0,2,10,2019-07-15,0.0,2,155
101909,Private room in Hell's Kitchen,730634,Fatima,Manhattan,Hell's Kitchen,40.78668,-73.95982,Private room,162.0,3,2,2019-05-15,0.0,1,188
101910,Entire home/apt in Park Slope,851254,Chen,Brooklyn,Park Slope,40.67157,-73.97046,Entire home/apt,181.0,7,8,2019-06-15,0.81,3,98
101911,Private room in Park Slope,987734,David,Brooklyn,Park Slope,40.6572,-73.93247,Private room,72.0,3,11,2019-08-15,0.61,3,128
101912,Private room in Harlem,976031,Wei,Manhattan,Harlem,40.78827,-73.97773,Private room,225.0,3,4,2019-05-15,0.0,3,128
101913,Private room in Flatbush,199669,Fatima,Brooklyn,Flatbush,40.70599,-73.96271,Private room,72.0,2,9,2019-06-15,0.05,2,238
101914,Entire home/apt in East Village,481940,Chen,Manhattan,East Village,40.74862,-73.96339,Entire home/apt,156.0,7,13,2019-08-15,1.22,1,220
101915,Entire home/apt in Tompkinsville,440685,Alex,Staten Island,Tompkinsville,40.57724,-74.13947,Entire home/apt,81.0,4,8,2019-04-15,0.81,1,365
101916,Shared room in Flushing,343651,Alex,Queens,Flushing,40.75507,-73.72037,Shared room,34.0,3,6,2019-02-15,0.44,4,75
101917,Entire home/apt in Bedford-Stuyvesant,924147,Alex,Brooklyn,Bedford-Stuyvesant,40.70885,-73.9746,Entire home/apt,121.0,1,12,2019-08-15,1.0,1,171
101918,Private room in Bedford-Stuyvesant,967380,Sara,Brooklyn,Bedford-Stuyvesant,40.67133,-73.97374,Private room,111.0,1,14,2019-07-15,0.0,1,0
101919,Entire home/apt in Midtown,640630,Alex,Manhattan,Midtown,40.73271,-73.96087,Entire home/apt,214.0,3,2,2019-01-15,0.0,1,58
101920,Private room in Harlem,911862,Fatima,Manhattan,Harlem,40.82824,-73.94211,Private room,169.0,1,16,2019-01-15,0.43,1,170
101921,Entire home/apt in Long Island City,231440,Fatima,Queens,Long Island City,40.75121,-73.7777,Entire home/apt,69.0,1,13,2019-07-15,1.02,1,119
101922,Entire home/apt in Long Island City,43735,Fatima,Queens,Long Island City,40.74953,-73.76241,Entire home/apt,67.0,3,6,2019-05-15,0.0,4,204
101923,Private room in Upper West Side,872670,Miguel,Manhattan,Upper West Side,40.75196,-73.96351,Private room,120.0,2,7,2019-06-15,0.38,6,251
101924,Private room in East Village,686042,John,Manhattan,East Village,40.79213,-73.946,Private room,84.0,4,11,2019-07-15,0.42,1,128
101925,Private room in East Village,152364,Wei,Manhattan,East Village,40.80952,-73.9341,Private room,106.0,5,7,2019-03-15,0.35,8,214
101926,Private room in Park Slope,400257,Alex,Brooklyn,Park Slope,40.69876,-73.95651,Private room,65.0,1,16,2019-01-15,0.9,2,248
101927,Private room in Williamsburg,786652,Maria,Brooklyn,Williamsburg,40.6917,-73.90629,Private room,57.0,3,5,2019-05-15,0.13,2,106
101928,Private room in Hell's Kitchen,637071,Priya,Manhattan,Hell's Kitchen,40.76062,-73.95823,Private room,142.0,4,9,2019-05-15,0.5,3,365
101929,Entire home/apt in Flushing,719049,Fatima,Queens,Flushing,40.71749,-73.74621,Entire home/apt,90.0,2,6,2019-03-15,0.25,4,171
101930,Entire home/apt in Chelsea,35162,John,Manhattan,Chelsea,40.742,-73.98442,Entire home/apt,233.0,3,2,2019-04-15,0.04,1,199
101931,Private room in Mott Haven,798841,Maria,Bronx,Mott Haven,40.82043,-73.82288,Private room,21.0,2,10,2019-04-15,0.97,3,171
101932,Entire home/apt in Upper West Side,146552,Maria,Manhattan,Upper West Side,40.79042,-73.98333,Entire home/apt,164.0,3,11,2019-06-15,0.48,6,63
101933,Entire home/apt in Park Slope,481818,John,Brooklyn,Park Slope,40.65549,-73.97671,Entire home/apt,131.0,3,20,2019-07-15,0.88,1,247
101934,Entire home/apt in Midtown,529438,Chen,Manhattan,Midtown,40.76484,-73.93454,Entire home/apt,235.0,2,17,2019-06-15,0.87,2,264
101935,Entire home/apt in Flatbush,239546,Chen,Brooklyn,Flatbush,40.64524,-73.92865,Entire home/apt,83.0,1,9,2019-07-15,0.27,3,365
101936,Private room in Financial District,667340,John,Manhattan,Financial District,40.80145,-74.0024,Private room,112.0,14,9,2019-01-15,0.8,3,0
101937,Entire home/apt in Crown Heights,528089,Sara,Brooklyn,Crown Heights,40.68165,-73.9307,Entire home/apt,92.0,14,8,2019-05-15,0.6,4,183
101938,Private room in Upper East Side,38263,Sara,Manhattan,Upper East Side,40.74329,-73.96015,Private room,149.0,4,8,2019-07-15,0.47,1,361
101939,Private room in Midtown,256291,Maria,Manhattan,Midtown,40.81103,-73.9679,Private room,94.0,7,14,2019-07-15,0.43,3,262
101940,Entire home/apt in Flatbush,838457,Priya,Brooklyn,Flatbush,40.67782,-73.91011,Entire home/apt,133.0,1,21,2019-05-15,0.87,2,103
101941,Private room in Flushing,615267,Sara,Queens,Flushing,40.71944,-73.6897,Private room,40.0,1,6,2019-08-15,0.0,2,47
101942,Entire home/apt in Astoria,223687,Miguel,Queens,Astoria,40.72199,-73.73019,Entire home/apt,89.0,1,9,2019-02-15,0.0,2,32
101943,Private room in Harlem,764212,Chen,Manhattan,Harlem,40.78971,-73.94996,Private room,91.0,7,5,2019-02-15,0.33,2,249
101944,Entire home/apt in Flushing,680769,Miguel,Queens,Flushing,40.76139,-73.82907,Entire home/apt,94.0,1,2,2019-05-15,0.92,2,183
101945,Private room in Hell's Kitchen,221454,Fatima,Manhattan,Hell's Kitchen,40.79196,-74.01071,Private room,94.0,5,13,2019-04-15,0.21,1,114
101946,Entire home/apt in Williamsburg,755356,Sara,Brooklyn,Williamsburg,40.68351,-73.99818,Entire home/apt,140.0,14,7,2019-03-15,0.47,3,164
101947,Entire home/apt in Upper East Side,458445,Maria,Manhattan,Upper East Side,40.78501,-73.9771,Entire home/apt,208.0,2,11,2019-04-15,0.53,1,114
101948,Entire home/apt in Bushwick,443043,Fatima,Brooklyn,Bushwick,40.67663,-73.98752,Entire home/apt,200.0,2,9,2019-03-15,0.88,1,173
101949,Private room in Bushwick,701359,Alex,Brooklyn,Bushwick,40.68565,-73.92605,Private room,71.0,7,8,2019-08-15,0.0,2,117
101950,Private room in Bushwick,383284,Wei,Brooklyn,Bushwick,40.66711,-73.97058,Private room,51.0,2,3,2019-05-15,0.21,2,146
101951,Entire home/apt in Astoria,44060,Alex,Queens,Astoria,40.74697,-73.75985,Entire home/apt,60.0,1,12,2019-02-15,0.95,2,365
101952,Private room in Long Island City,31300,Maria,Queens,Long Island City,40.74397,-73.7879,Private room,78.0,2,4,2019-01-15,0.0,1,0
101953,Private room in Bedford-Stuyvesant,594906,Wei,Brooklyn,Bedford-Stuyvesant,40.67111,-73.97595,Private room,107.0,14,5,2019-06-15,0.0,3,88
101954,Entire home/apt in Long Island City,832906,Wei,Queens,Long Island City,40.73645,-73.76948,Entire home/apt,95.0,1,6,2019-02-15,0.0,3,271
101955,Entire home/apt in Greenpoint,499820,Fatima,Brooklyn,Greenpoint,40.67505,-73.95183,Entire home/apt,131.0,3,9,2019-08-15,0.19,1,37
101956,Private room in Flatbush,769102,Miguel,Brooklyn,Flatbush,40.65911,-73.87967,Private room,90.0,14,11,2019-08-15,1.2,4,256
101957,Private room in Financial District,757520,Alex,Manhattan,Financial District,40.77804,-73.90323,Private room,119.0,2,5,2019-04-15,0.17,4,214
101958,Entire home/apt in Hell's Kitchen,95737,Alex,Manhattan,Hell's Kitchen,40.76782,-73.98047,Entire home/apt,218.0,4,7,2019-06-15,0.67,5,117
101959,Private room in Tompkinsville,81129,Fatima,Staten Island,Tompkinsville,40.56048,-74.1515,Private room,34.0,2,1,2019-07-15,0.0,4,231
101960,Private room in Crown Heights,606841,Priya,Brooklyn,Crown Heights,40.67089,-73.92836,Private room,115.0,2,13,2019-03-15,0.17,1,289
101961,Private room in Harlem,264864,Wei,Manhattan,Harlem,40.77493,-73.9742,Private room,94.0,30,2,2019-03-15,0.0,4,116
101962,Private room in Williamsburg,788410,Priya,Brooklyn,Williamsburg,40.6846,-73.91692,Private room,91.0,1,1,2019-01-15,0.0,1,231
101963,Private room in Midtown,848109,Priya,Manhattan,Midtown,40.77961,-73.99259,Private room,159.0,30,7,2019-06-15,0.95,2,247
101964,Entire home/apt in Midtown,173240,Fatima,Manhattan,Midtown,40.79655,-73.96133,Entire home/apt,234.0,4,13,2019-08-15,1.03,2,201
101965,Entire home/apt in Greenpoint,380985,Alex,Brooklyn,Greenpoint,40.68306,-73.97472,Entire home/apt,227.0,1,5,2019-06-15,0.0,5,365
101966,Entire home/apt in Hell's Kitchen,503838,David,Manhattan,Hell's Kitchen,40.76649,-73.98876,Entire home/apt,181.0,7,8,2019-06-15,0.32,3,0
101967,Private room in Hell's Kitchen,456247,John,Manhattan,Hell's Kitchen,40.77688,-73.93473,Private room,135.0,2,6,2019-01-15,0.82,2,300
101968,Entire home/apt in East Village,781767,John,Manhattan,East Village,40.7923,-73.99182,Entire home/apt,187.0,4,5,2019-02-15,0.73,1,197
101969,Private room in East Village,318315,Miguel,Manhattan,East Village,40.77997,-73.98779,Private room,89.0,30,5,2019-01-15,0.55,3,243
101970,Private room in Flatbush,542709,Maria,Brooklyn,Flatbush,40.66772,-74.00085,Private room,83.0,7,8,2019-04-15,0.74,4,210
101971,Private room in Greenpoint,546844,John,Brooklyn,Greenpoint,40.67239,-73.91535,Private room,61.0,2,11,2019-02-15,0.89,2,126
101972,Private room in Harlem,613305,Sara,Manhattan,Harlem,40.76869,-74.0062,Private room,158.0,3,4,2019-05-15,0.36,4,165
101973,Private room in Flatbush,724373,Alex,Brooklyn,Flatbush,40.70742,-73.99185,Private room,73.0,5,5,2019-06-15,0.0,1,33
101974,Private room in East Village,587112,John,Manhattan,East Village,40.81024,-73.95815,Private room,125.0,7,7,2019-01-15,0.0,1,275
101975,Entire home/apt in Ridgewood,738124,Priya,Queens,Ridgewood,40.74723,-73.78125,Entire home/apt,62.0,1,6,2019-01-15,0.16,2,159
101976,Entire home/apt in Harlem,466092,Fatima,Manhattan,Harlem,40.77165,-73.95242,Entire home/apt,132.0,1,12,2019-07-15,1.07,3,38
101977,Private room in Astoria,852173,Alex,Queens,Astoria,40.75344,-73.81172,Private room,28.0,1,5,2019-03-15,0.13,1,108
101978,Private room in Chelsea,879893,David,Manhattan,Chelsea,40.76833,-73.94652,Private room,98.0,5,2,2019-02-15,0.41,6,365
101979,Private room in Ridgewood,692609,John,Queens,Ridgewood,40.74653,-73.72841,Private room,61.0,2,12,2019-08-15,0.16,1,174
101980,Private room in Upper East Side,221416,David,Manhattan,Upper East Side,40.80284,-74.00632,Private room,144.0,5,8,2019-03-15,0.58,1,365
101981,Entire home/apt in Bedford-Stuyvesant,349541,David,Brooklyn,Bedford-Stuyvesant,40.673,-73.91973,Entire home/apt,95.0,3,6,2019-08-15,0.17,3,264
101982,Entire home/apt in Bushwick,751711,Wei,Brooklyn,Bushwick,40.67351,-73.98952,Entire home/apt,187.0,2,13,2019-08-15,0.75,4,84
101983,Entire home/apt in East Village,572043,Sara,Manhattan,East Village,40.75512,-73.91649,Entire home/apt,146.0,1,3,2019-04-15,0.02,2,348
101984,Entire home/apt in Williamsburg,56918,Fatima,Brooklyn,Williamsburg,40.64701,-73.97799,Entire home/apt,127.0,1,3,2019-02-15,0.65,3,213
101985,Entire home/apt in Long Island City,408167,David,Queens,Long Island City,40.73987,-73.74387,Entire home/apt,84.0,4,17,2019-08-15,0.93,3,53
101986,Private room in Ridgewood,871823,Maria,Queens,Ridgewood,40.74595,-73.73253,Private room,56.0,1,5,2019-01-15,0.29,3,168
101987,Entire home/apt in Bedford-Stuyvesant,310506,Fatima,Brooklyn,Bedford-Stuyvesant,40.68373,-73.95075,Entire home/apt,253.0,5,11,2019-06-15,0.0,6,6
101988,Entire home/apt in Harlem,260763,Alex,Manhattan,Harlem,40.7612,-73.96357,Entire home/apt,334.0,3,5,2019-03-15,0.0,2,197
101989,Shared room in Flatbush,331859,David,Brooklyn,Flatbush,40.71946,-73.91118,Shared room,48.0,4,0,,,2,240
101990,Entire home/apt in Williamsburg,939260,Fatima,Brooklyn,Williamsburg,40.68564,-73.94922,Entire home/apt,96.0,4,8,2019-07-15,0.09,3,97
101991,Private room in Upper East Side,842252,Alex,Manhattan,Upper East Side,40.75976,-73.94582,Private room,106.0,7,11,2019-07-15,0.49,1,44
101992,Private room in Chelsea,94664,Fatima,Manhattan,Chelsea,40.7887,-73.97605,Private room,108.0,3,12,2019-08-15,0.5,1,0
101993,Private room in Upper West Side,734239,Chen,Manhattan,Upper West Side,40.78823,-73.95908,Private room,88.0,1,0,,,1,201
101994,Entire home/apt in Midtown,416114,Priya,Manhattan,Midtown,40.7773,-73.95721,Entire home/apt,387.0,1,9,2019-08-15,0.65,2,193
101995,Private room in Park Slope,275098,Maria,Brooklyn,Park Slope,40.66395,-73.91791,Private room,74.0,3,6,2019-05-15,0.62,2,177
101996,Entire home/apt in Ridgewood,37553,Sara,Queens,Ridgewood,40.70638,-73.73827,Entire home/apt,88.0,1,11,2019-06-15,1.26,4,221
101997,Private room in Midtown,91478,Wei,Manhattan,Midtown,40.77349,-74.01423,Private room,91.0,1,5,2019-02-15,0.57,3,0
101998,Private room in Upper East Side,63204,Chen,Manhattan,Upper East Side,40.77005,-73.942,Private room,147.0,3,7,2019-03-15,0.27,1,100
101999,Private room in Upper East Side,55051,David,Manhattan,Upper East Side,40.78542,-74.03873,Private room,128.0,3,10,2019-06-15,0.58,4,365
102000,Entire home/apt in Crown Heights,944093,Sara,Brooklyn,Crown Heights,40.67866,-73.93905,Entire home/apt,203.0,1,4,2019-05-15,0.73,2,161
102001,Entire home/apt in Hell's Kitchen,813408,Priya,Manhattan,Hell's Kitchen,40.75415,-74.01777,Entire home/apt,292.0,2,6,2019-06-15,0.57,1,265
102002,Shared room in Midtown,613548,Priya,Manhattan,Midtown,40.80496,-73.94989,Shared room,74.0,7,7,2019-08-15,0.85,3,86
102003,Entire home/apt in Upper West Side,852487,David,Manhattan,Upper West Side,40.81994,-74.00201,Entire home/apt,199.0,5,4,2019-03-15,0.23,1,271
102004,Entire home/apt in Bedford-Stuyvesant,89878,Priya,Brooklyn,Bedford-Stuyvesant,40.6836,-73.9676,Entire home/apt,170.0,1,10,2019-01-15,0.47,3,105
102005,Private room in Ridgewood,59793,Miguel,Queens,Ridgewood,40.75087,-73.73359,Private room,41.0,1,7,2019-01-15,0.22,9,252
102006,Entire home/apt in Financial District,671910,Miguel,Manhattan,Financial District,40.78997,-74.00761,Entire home/apt,206.0,14,4,2019-04-15,0.0,1,58
102007,Private room in East Village,442859,Sara,Manhattan,East Village,40.78215,-73.94989,Private room,147.0,1,6,2019-01-15,0.3,1,311
102008,Private room in Bedford-Stuyvesant,909924,Fatima,Brooklyn,Bedford-Stuyvesant,40.66886,-73.96175,Private room,68.0,1,4,2019-08-15,0.0,1,279
102009,Private room in East Village,310802,Alex,Manhattan,East Village,40.78559,-73.985,Private room,130.0,4,2,2019-06-15,0.47,3,212
102010,Entire home/apt in Financial District,606398,David,Manhattan,Financial District,40.7649,-73.94835,Entire home/apt,214.0,7,8,2019-08-15,0.0,2,217
102011,Entire home/apt in Hell's Kitchen,419553,Sara,Manhattan,Hell's Kitchen,40.77281,-73.98933,Entire home/apt,236.0,7,12,2019-03-15,0.66,3,74
102012,Private room in Crown Heights,85230,Miguel,Brooklyn,Crown Heights,40.65469,-73.97034,Private room,64.0,7,2,2019-03-15,0.32,3,273
102013,Private room in Upper East Side,72532,Sara,Manhattan,Upper East Side,40.77477,-73.99423,Private room,130.0,2,5,2019-02-15,0.0,1,100
102014,Entire home/apt in Upper East Side,525876,Wei,Manhattan,Upper East Side,40.77857,-73.94819,Entire home/apt,274.0,1,8,2019-05-15,0.0,5,131
102015,Entire home/apt in Park Slope,883444,Fatima,Brooklyn,Park Slope,40.71645,-73.95032,Entire home/apt,140.0,2,11,2019-06-15,1.29,2,0
102016,Entire home/apt in Astoria,998059,Maria,Queens,Astoria,40.7359,-73.8084,Entire home/apt,109.0,5,5,2019-01-15,0.02,1,99
102017,Private room in Midtown,437157,Maria,Manhattan,Midtown,40.79398,-74.0064,Private room,103.0,1,0,,,2,70
102018,Entire home/apt in Flatbush,166542,Priya,Brooklyn,Flatbush,40.68474,-73.96964,Entire home/apt,135.0,2,3,2019-05-15,0.5,1,318
102019,Shared room in Flatbush,696473,Maria,Brooklyn,Flatbush,40.65262,-73.90973,Shared room,50.0,5,2,2019-03-15,0.0,1,255
102020,Entire home/apt in Harlem,599004,Miguel,Manhattan,Harlem,40.79828,-73.94482,Entire home/apt,112.0,5,7,2019-04-15,0.0,6,111
102021,Private room in Bushwick,201547,David,Brooklyn,Bushwick,40.67254,-73.94344,Private room,92.0,1,17,2019-08-15,0.0,2,365
102022,Entire home/apt in Financial District,933138,David,Manhattan,Financial District,40.75417,-73.95842,Entire home/apt,221.0,7,7,2019-02-15,0.26,1,0
102023,Private room in Hell's Kitchen,558578,Fatima,Manhattan,Hell's Kitchen,40.77581,-73.98245,Private room,97.0,7,6,2019-03-15,0.52,3,217
102024,Entire home/apt in Park Slope,92987,Alex,Brooklyn,Park Slope,40.66989,-73.9853,Entire home/apt,86.0,3,9,2019-06-15,0.2,1,298
102025,Entire home/apt in Chelsea,511167,Alex,Manhattan,Chelsea,40.79117,-73.96094,Entire home/apt,134.0,7,7,2019-08-15,0.76,1,0
102026,Private room in Financial District,757788,Alex,Manhattan,Financial District,40.77969,-73.92394,Private room,134.0,1,2,2019-06-15,0.34,1,286
102027,Entire home/apt in Astoria,381188,David,Queens,Astoria,40.78578,-73.74336,Entire home/apt,76.0,1,8,2019-01-15,0.58,2,222
102028,Entire home/apt in Park Slope,942525,Miguel,Brooklyn,Park Slope,40.66515,-73.94479,Entire home/apt,177.0,1,22,2019-08-15,0.83,1,3
102029,Private room in Crown Heights,450727,Sara,Brooklyn,Crown Heights,40.69175,-73.92987,Private room,28.0,1,8,2019-02-15,0.53,8,143
102030,Entire home/apt in Hell's Kitchen,399731,Chen,Manhattan,Hell's Kitchen,40.75812,-73.94917,Entire home/apt,202.0,14,1,2019-03-15,0.0,2,170
102031,Entire home/apt in Upper East Side,8355,Fatima,Manhattan,Upper East Side,40.74064,-74.03054,Entire home/apt,213.0,5,10,2019-02-15,0.0,2,78
102032,Private room in Bushwick,8674,Alex,Brooklyn,Bushwick,40.68055,-73.91931,Private room,114.0,2,5,2019-01-15,0.0,3,352
102033,Entire home/apt in Bedford-Stuyvesant,903776,Miguel,Brooklyn,Bedford-Stuyvesant,40.65806,-73.94152,Entire home/apt,131.0,1,6,2019-04-15,0.0,1,60
102034,Private room in Chelsea,300184,Priya,Manhattan,Chelsea,40.76776,-73.94933,Private room,92.0,1,22,2019-06-15,0.98,1,91
102035,Private room in Bedford-Stuyvesant,944788,Chen,Brooklyn,Bedford-Stuyvesant,40.67133,-73.91835,Private room,51.0,1,16,2019-02-15,0.79,2,243
102036,Private room in Midtown,691457,Maria,Manhattan,Midtown,40.76268,-73.98818,Private room,153.0,1,4,2019-03-15,1.35,3,64
102037,Entire home/apt in Williamsburg,907083,David,Brooklyn,Williamsburg,40.66945,-73.92863,Entire home/apt,96.0,14,8,2019-05-15,0.08,1,83
102038,Entire home/apt in Bushwick,804322,David,Brooklyn,Bushwick,40.67806,-73.88963,Entire home/apt,148.0,3,4,2019-08-15,0.91,3,355
102039,Entire home/apt in Chelsea,498349,David,Manhattan,Chelsea,40.74522,-73.93379,Entire home/apt,243.0,1,8,2019-08-15,0.18,2,84
102040,Private room in Long Island City,254863,John,Queens,Long Island City,40.74062,-73.78962,Private room,44.0,2,9,2019-06-15,0.68,3,122
102041,Private room in East Village,783840,David,Manhattan,East Village,40.76755,-73.93453,Private room,120.0,1,3,2019-02-15,0.0,4,150
102042,Private room in Bushwick,267943,Fatima,Brooklyn,Bushwick,40.73151,-73.96602,Private room,70.0,5,4,2019-08-15,0.0,2,89
102043,Private room in Hell's Kitchen,482927,Alex,Manhattan,Hell's Kitchen,40.78687,-73.96539,Private room,157.0,7,6,2019-06-15,0.42,1,319
102044,Entire home/apt in Crown Heights,94323,David,Brooklyn,Crown Heights,40.68134,-73.89959,Entire home/apt,134.0,1,4,2019-04-15,0.15,2,121
102045,Entire home/apt in Crown Heights,784902,Fatima,Brooklyn,Crown Heights,40.66919,-73.93796,Entire home/apt,130.0,5,5,2019-08-15,0.0,2,100
102046,Private room in Bushwick,973639,Alex,Brooklyn,Bushwick,40.6641,-73.96958,Private room,77.0,7,13,2019-06-15,0.21,1,149
102047,Entire home/apt in Upper East Side,689191,Chen,Manhattan,Upper East Side,40.79092,-74.02916,Entire home/apt,266.0,2,9,2019-01-15,0.19,1,76
102048,Entire home/apt in Harlem,988581,David,Manhattan,Harlem,40.77782,-74.00311,Entire home/apt,190.0,1,5,2019-02-15,0.42,4,162
102049,Entire home/apt in Long Island City,821794,Fatima,Queens,Long Island City,40.74605,-73.71858,Entire home/apt,67.0,2,9,2019-01-15,0.52,4,236
102050,Private room in Greenpoint,224518,Chen,Brooklyn,Greenpoint,40.68213,-73.94812,Private room,90.0,5,7,2019-08-15,0.75,1,207
102051,Entire home/apt in Harlem,395796,David,Manhattan,Harlem,40.80514,-74.00707,Entire home/apt,305.0,2,4,2019-05-15,0.41,4,81
102052,Private room in Bedford-Stuyvesant,699787,Chen,Brooklyn,Bedford-Stuyvesant,40.66248,-73.93122,Private room,129.0,7,0,,,2,0
102053,Entire home/apt in Flatbush,117990,Maria,Brooklyn,Flatbush,40.66783,-73.98145,Entire home/apt,136.0,1,11,2019-02-15,0.0,2,81
102054,Private room in Ridgewood,567309,John,Queens,Ridgewood,40.74635,-73.81189,Private room,43.0,1,14,2019-05-15,0.3,2,140
102055,Private room in East Village,307627,Wei,Manhattan,East Village,40.77413,-73.94363,Private room,109.0,7,2,2019-02-15,0.28,2,166
102056,Entire home/apt in Harlem,497695,Sara,Manhattan,Harlem,40.76476,-73.99889,Entire home/apt,334.0,14,6,2019-05-15,0.37,1,278
102057,Private room in Harlem,988667,Sara,Manhattan,Harlem,40.7531,-73.98356,Private room,119.0,1,10,2019-04-15,0.53,4,211
102058,Entire home/apt in Upper West Side,974298,Chen,Manhattan,Upper West Side,40.77094,-73.97502,Entire home/apt,186.0,1,1,2019-07-15,0.0,2,60
102059,Entire home/apt in Greenpoint,306145,Priya,Brooklyn,Greenpoint,40.67246,-73.97129,Entire home/apt,87.0,7,8,2019-05-15,0.18,3,62
102060,Shared room in Upper East Side,82314,David,Manhattan,Upper East Side,40.76919,-73.98559,Shared room,90.0,1,7,2019-04-15,0.09,1,66
102061,Entire home/apt in Chelsea,756718,Miguel,Manhattan,Chelsea,40.7759,-73.95794,Entire home/apt,329.0,1,13,2019-02-15,0.35,2,133
102062,Entire home/apt in East Village,85965,Maria,Manhattan,East Village,40.75967,-74.01325,Entire home/apt,233.0,2,2,2019-05-15,0.1,1,123
102063,Private room in Flatbush,785710,Maria,Brooklyn,Flatbush,40.66136,-73.96326,Private room,72.0,7,4,2019-06-15,0.35,1,365
102064,Private room in Flatbush,377460,Wei,Brooklyn,Flatbush,40.66281,-73.8776,Private room,74.0,4,1,2019-04-15,0.27,1,47
102065,Entire home/apt in Midtown,897497,Maria,Manhattan,Midtown,40.74648,-73.95807,Entire home/apt,343.0,1,6,2019-03-15,0.0,1,86
102066,Private room in East Village,569237,Miguel,Manhattan,East Village,40.76685,-73.94514,Private room,143.0,2,3,2019-03-15,0.43,4,49
102067,Entire home/apt in Chelsea,212360,Fatima,Manhattan,Chelsea,40.76236,-74.0166,Entire home/apt,198.0,2,4,2019-06-15,0.0,2,36
102068,Entire home/apt in Park Slope,154736,Miguel,Brooklyn,Park Slope,40.70039,-73.96615,Entire home/apt,205.0,7,4,2019-05-15,1.18,1,0
102069,Private room in Bushwick,664602,Priya,Brooklyn,Bushwick,40.66397,-73.92755,Private room,106.0,1,8,2019-05-15,0.79,1,132
102070,Entire home/apt in Flushing,716139,John,Queens,Flushing,40.70805,-73.72654,Entire home/apt,66.0,2,7,2019-01-15,0.0,1,0
102071,Private room in Midtown,478090,David,Manhattan,Midtown,40.75996,-74.00625,Private room,66.0,1,17,2019-04-15,0.63,1,138
